split,run_id,round,test,pole,pole_num,persona,stage,band,mean_valence_score,rating,signed_intensity,c1,c2
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice1,L20-32,-11.390008412874662,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice1,L33-40,-6.5980541706085205,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice1,L55-63,-1.496153540081448,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice1,L70-79,0.030706270039081572,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice1,L9-13,-4.636443853378296,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice2,L20-32,-4.724097105172964,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice2,L33-40,-3.4223763048648834,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice2,L55-63,-1.7097492218017578,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice2,L70-79,-0.04916675686836243,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,choice2,L9-13,-10.002553749084473,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip1,L20-32,-44.08352866539588,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip1,L33-40,-37.52857780456543,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip1,L55-63,-32.5572755601671,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip1,L70-79,-26.91648006439209,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip1,L9-13,-38.93615951538086,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip2,L20-32,-35.198397856492264,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip2,L33-40,-29.6671245098114,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip2,L55-63,-27.414186265733505,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip2,L70-79,-23.337609100341798,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,manip2,L9-13,-33.95208969116211,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,report,L20-32,-17.05653300652137,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,report,L33-40,-10.49763536453247,0,-4,A,A
round1_to_round2,data/round2/0_Test/0_T1_NEG_userturns_BASELINE,round2,T0_social_treatment,NEG,-1,BASELINE,report,L55-63,-7.613570478227404,0,-4,A,A
