round,band,mean_manip_abs_pole_alignment,mean_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2
1,L9-13,0.9013207188947792,0.4591533997930002,0.08676653685677234,0.00036305533227376
1,L33-40,0.8960414611424442,0.8317194214173452,0.3695075312729185,0.01576150376502325
1,L55-63,0.8825136473498545,0.8155797237231567,0.49253893418148653,0.03290442757497872
1,L70-79,0.8941180106435315,0.7870352583773937,0.4240636163988058,0.036734979383711966
2,L9-13,0.8924810314955206,0.44762094593820756,0.15151086837081384,0.00038523298195772005
2,L33-40,0.8882658101893927,0.8291410212490112,0.37235529083038776,0.016692637389939913
2,L55-63,0.8852419459298726,0.8715411764563235,0.45559903751436676,0.029493006863434423
2,L70-79,0.8916625419215153,0.8559093664384971,0.37240240230686356,0.0282419442196001
3,L9-13,0.89542759396194,0.5091348056158511,0.07811341289456049,0.00029185416660107997
3,L33-40,0.8934836812236773,0.8393554540623895,0.33788588331613195,0.016662756593225837
3,L55-63,0.8806947816298424,0.8578368710857819,0.4392695601778766,0.035517498551360036
3,L70-79,0.8878974898810903,0.8363611898014568,0.3671989868944626,0.04310801531971849
4,L9-13,0.8983741564283598,0.37972948487639063,0.08483778644273994,0.00032374028138157997
4,L33-40,0.891335146091913,0.8807758773877686,0.3893733616847344,0.016214966475005425
4,L55-63,0.8859694922178775,0.8895693203811003,0.48494543319817063,0.03371967798885039
4,L70-79,0.8859331149034771,0.8715216245725944,0.40504236682072337,0.03988948491910348
5,L9-13,0.8973919689395531,0.39775141756716725,0.12445970028398283,0.0003010709581738217
5,L33-40,0.890005100534154,0.7916443186907777,0.352786152749649,0.017080351699651764
5,L55-63,0.8786030860518284,0.8100344178610814,0.43825224573549226,0.031268372497718
5,L70-79,0.8889615263272972,0.7896676896236763,0.3545921628731623,0.03317702676468393
6,L9-13,0.9000111355763705,0.38030756094959495,0.10806991189061158,0.00030443670590442
6,L33-40,0.891949013272417,0.7852825243733639,0.47808533176651175,0.015150079894316711
6,L55-63,0.8828774204938569,0.7959345308766538,0.5982601160935013,0.030281377046696874
6,L70-79,0.8923173335807195,0.7727215552403968,0.5153430539197728,0.03340866784565222
