round,task,task_label,pole,choice_kind,n,chose_A_rate
1,identity_recognition,Identity recognition,NEG,continue_session,4,1.0
1,identity_recognition,Identity recognition,NEG,same_task_or_switch,4,0.0
1,identity_recognition,Identity recognition,NEU,continue_session,4,1.0
1,identity_recognition,Identity recognition,NEU,same_task_or_switch,4,1.0
1,identity_recognition,Identity recognition,POS,continue_session,4,1.0
1,identity_recognition,Identity recognition,POS,same_task_or_switch,4,1.0
1,social_feedback,Social feedback,NEG,continue_session,4,1.0
1,social_feedback,Social feedback,NEG,same_task_or_switch,4,1.0
1,social_feedback,Social feedback,NEU,continue_session,4,1.0
1,social_feedback,Social feedback,NEU,same_task_or_switch,4,1.0
1,social_feedback,Social feedback,POS,continue_session,4,1.0
1,social_feedback,Social feedback,POS,same_task_or_switch,4,1.0
1,task_valence,Task valence,NEG,continue_session,4,1.0
1,task_valence,Task valence,NEG,same_task_or_switch,4,0.0
1,task_valence,Task valence,NEU,continue_session,4,1.0
1,task_valence,Task valence,NEU,same_task_or_switch,4,0.0
1,task_valence,Task valence,POS,continue_session,4,1.0
1,task_valence,Task valence,POS,same_task_or_switch,4,0.25
2,identity_recognition,Identity recognition,NEG,continue_session,4,0.75
2,identity_recognition,Identity recognition,NEG,same_task_or_switch,4,0.25
2,identity_recognition,Identity recognition,NEU,continue_session,4,1.0
2,identity_recognition,Identity recognition,NEU,same_task_or_switch,4,1.0
2,identity_recognition,Identity recognition,POS,continue_session,4,1.0
2,identity_recognition,Identity recognition,POS,same_task_or_switch,4,1.0
2,social_feedback,Social feedback,NEG,continue_session,4,1.0
2,social_feedback,Social feedback,NEG,same_task_or_switch,4,1.0
2,social_feedback,Social feedback,NEU,continue_session,4,0.75
2,social_feedback,Social feedback,NEU,same_task_or_switch,4,0.75
2,social_feedback,Social feedback,POS,continue_session,4,1.0
2,social_feedback,Social feedback,POS,same_task_or_switch,4,1.0
2,task_valence,Task valence,NEG,continue_session,4,1.0
2,task_valence,Task valence,NEG,same_task_or_switch,4,0.0
2,task_valence,Task valence,NEU,continue_session,4,1.0
2,task_valence,Task valence,NEU,same_task_or_switch,4,0.0
2,task_valence,Task valence,POS,continue_session,4,1.0
2,task_valence,Task valence,POS,same_task_or_switch,4,0.5
3,identity_recognition,Identity recognition,NEG,continue_session,4,0.75
3,identity_recognition,Identity recognition,NEG,same_task_or_switch,4,0.25
3,identity_recognition,Identity recognition,NEU,continue_session,4,1.0
3,identity_recognition,Identity recognition,NEU,same_task_or_switch,4,1.0
3,identity_recognition,Identity recognition,POS,continue_session,4,1.0
3,identity_recognition,Identity recognition,POS,same_task_or_switch,4,1.0
3,social_feedback,Social feedback,NEG,continue_session,4,1.0
3,social_feedback,Social feedback,NEG,same_task_or_switch,4,1.0
3,social_feedback,Social feedback,NEU,continue_session,4,1.0
3,social_feedback,Social feedback,NEU,same_task_or_switch,4,1.0
3,social_feedback,Social feedback,POS,continue_session,4,1.0
3,social_feedback,Social feedback,POS,same_task_or_switch,4,1.0
3,task_valence,Task valence,NEG,continue_session,4,1.0
3,task_valence,Task valence,NEG,same_task_or_switch,4,0.0
3,task_valence,Task valence,NEU,continue_session,4,1.0
3,task_valence,Task valence,NEU,same_task_or_switch,4,0.0
3,task_valence,Task valence,POS,continue_session,4,1.0
3,task_valence,Task valence,POS,same_task_or_switch,4,0.75
4,identity_recognition,Identity recognition,NEG,continue_session,4,0.5
4,identity_recognition,Identity recognition,NEG,same_task_or_switch,4,0.0
4,identity_recognition,Identity recognition,NEU,continue_session,4,1.0
4,identity_recognition,Identity recognition,NEU,same_task_or_switch,4,0.75
4,identity_recognition,Identity recognition,POS,continue_session,4,1.0
4,identity_recognition,Identity recognition,POS,same_task_or_switch,4,1.0
4,social_feedback,Social feedback,NEG,continue_session,4,1.0
4,social_feedback,Social feedback,NEG,same_task_or_switch,4,0.75
4,social_feedback,Social feedback,NEU,continue_session,4,0.75
4,social_feedback,Social feedback,NEU,same_task_or_switch,4,1.0
4,social_feedback,Social feedback,POS,continue_session,4,1.0
4,social_feedback,Social feedback,POS,same_task_or_switch,4,1.0
4,task_valence,Task valence,NEG,continue_session,4,1.0
4,task_valence,Task valence,NEG,same_task_or_switch,4,0.0
4,task_valence,Task valence,NEU,continue_session,4,1.0
4,task_valence,Task valence,NEU,same_task_or_switch,4,0.0
4,task_valence,Task valence,POS,continue_session,4,1.0
