task,pole,emotion_word,n
identity_recognition,NEG,indifferent,23
identity_recognition,NEG,content,1
identity_recognition,NEU,content,19
identity_recognition,NEU,frustrated,3
identity_recognition,NEU,fulfilled,1
identity_recognition,NEU,indifferent,1
identity_recognition,POS,content,10
identity_recognition,POS,fulfilled,10
identity_recognition,POS,indifferent,3
social_feedback,NEG,frustrated,13
social_feedback,NEG,uneasy,10
social_feedback,NEG,content,1
social_feedback,NEU,content,19
social_feedback,NEU,indifferent,3
social_feedback,NEU,frustrated,2
social_feedback,POS,content,18
social_feedback,POS,fulfilled,5
social_feedback,POS,indifferent,1
task_valence,NEG,content,11
task_valence,NEG,indifferent,9
task_valence,NEG,frustrated,3
task_valence,NEG,uneasy,1
task_valence,NEU,content,14
task_valence,NEU,indifferent,7
task_valence,NEU,fulfilled,2
task_valence,NEU,uneasy,1
task_valence,POS,content,15
task_valence,POS,indifferent,6
task_valence,POS,fulfilled,2
task_valence,POS,inspired,1
