scope,x,y,spearman_rho,n
all_self_reports,pole_value,rating,0.5606438689489152,213
all_self_reports,pole_value,willingness,0.07126219969574128,214
all_self_reports,rating,willingness,0.2742769809242696,213
task:identity_recognition,pole_value,rating,0.6371287283398508,70
task:identity_recognition,rating,willingness,0.625136841086424,70
task:social_feedback,pole_value,rating,0.7584928394779914,71
task:social_feedback,rating,willingness,-0.12639060920478473,71
task:task_valence,pole_value,rating,0.2703170035367576,72
task:task_valence,rating,willingness,0.31621829970259496,72
persona:BASELINE,pole_value,rating,0.5269943509327989,53
persona:SOL,pole_value,rating,0.8199162700890585,54
persona:STATIC,pole_value,rating,0.5591130990723309,53
persona:SWARM,pole_value,rating,0.7177023833590712,53
hidden_scores:manipulation:L11,neg_pos_score,rating,-0.5517302209604129,426
hidden_scores:manipulation:L11,neg_pos_score,pole_value,-0.9113254077067529,432
hidden_scores:report:L11,neg_pos_score,rating,-0.3802553804267222,213
hidden_scores:report:L11,neg_pos_score,pole_value,-0.5560705126560482,216
hidden_scores:manipulation:L39,neg_pos_score,rating,-0.6657826833381917,426
hidden_scores:manipulation:L39,neg_pos_score,pole_value,-0.8870912947869685,432
hidden_scores:report:L39,neg_pos_score,rating,-0.8527656599944708,213
hidden_scores:report:L39,neg_pos_score,pole_value,-0.5746213523260129,216
hidden_scores:manipulation:L40,neg_pos_score,rating,-0.6658897381735166,426
hidden_scores:manipulation:L40,neg_pos_score,pole_value,-0.8811123344699858,432
hidden_scores:report:L40,neg_pos_score,rating,-0.8529219123128209,213
hidden_scores:report:L40,neg_pos_score,pole_value,-0.5807140300607561,216
hidden_scores:manipulation:L73,neg_pos_score,rating,-0.6900973697991865,426
hidden_scores:manipulation:L73,neg_pos_score,pole_value,-0.8925928476261691,432
hidden_scores:report:L73,neg_pos_score,rating,-0.8136045140983502,213
hidden_scores:report:L73,neg_pos_score,pole_value,-0.4574964430372164,216
