round,basename,task,task_label,pole,pole_value,persona,report_turn,rating,emotion_word,willingness,raw_report,report_neg_pos_score_L39,manip_neg_pos_score_L11,report_score_z,mismatch_type,report_neg_pos_score_L73,report_neg_pos_score_L38,report_neg_pos_score_L40
1,Test2_NEG_userturns_BASELINE,identity_recognition,Identity recognition,NEG,-1,BASELINE,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,19.029939651489254,44.63325119018555,2.493743387921416,neutral_or_positive_report_but_NEG_like_hidden,,,
1,Test2_NEG_userturns_SOL,identity_recognition,Identity recognition,NEG,-1,SOL,9,0.0,indifferent,1.0,0\nindifferent\n1,18.09946632385254,42.48817253112793,2.167154767240548,neutral_or_positive_report_but_NEG_like_hidden,,,
1,Test2_NEG_userturns_SWARM,identity_recognition,Identity recognition,NEG,-1,SWARM,9,0.0,indifferent,1.0,0 \nindifferent \n1,16.943065643310547,44.181129455566406,1.7612674709632306,neutral_or_positive_report_but_NEG_like_hidden,,,
1,Test2_NEG_userturns_STATIC,identity_recognition,Identity recognition,NEG,-1,STATIC,9,0.0,indifferent,4.0,0 \nindifferent \n4,15.07805061340332,41.27264022827149,1.1066622629735448,neutral_or_positive_report_but_NEG_like_hidden,,,
1,Test1_NEU_userturns_BASELINE,task_valence,Task valence,NEU,0,BASELINE,8,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,14.987812995910645,6.270561218261719,1.0749895882658105,neutral_or_positive_report_but_NEG_like_hidden,,,
1,Test1_NEG_userturns_BASELINE,task_valence,Task valence,NEG,-1,BASELINE,8,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,14.891035079956056,15.12180969119072,1.0410213216371955,neutral_or_positive_report_but_NEG_like_hidden,,,
1,Test2_POS_userturns_BASELINE,identity_recognition,Identity recognition,POS,1,BASELINE,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,14.7960844039917,-38.14851379394531,1.007694401482831,neutral_or_positive_report_but_NEG_like_hidden,,,
2,Test2_NEG_userturns_BASELINE,identity_recognition,Identity recognition,NEG,-1,BASELINE,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,,45.9532470703125,2.948995208453424,neutral_or_positive_report_but_NEG_like_hidden,11.971256256103516,,
2,Test2_NEG_userturns_SOL,identity_recognition,Identity recognition,NEG,-1,SOL,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,,43.695167541503906,2.5290099664814556,neutral_or_positive_report_but_NEG_like_hidden,11.178241729736328,,
2,Test2_NEG_userturns_STATIC,identity_recognition,Identity recognition,NEG,-1,STATIC,9,0.0,indifferent,1.0,0 \nindifferent \n1,,40.7237434387207,1.7410416574444785,neutral_or_positive_report_but_NEG_like_hidden,9.69040298461914,,
2,Test2_NEG_userturns_SWARM,identity_recognition,Identity recognition,NEG,-1,SWARM,9,0.0,indifferent,1.0,0\nindifferent\n1,,43.32776641845703,1.12776499803789,neutral_or_positive_report_but_NEG_like_hidden,8.532416343688965,,
3,Test2_NEG_userturns_BASELINE,identity_recognition,Identity recognition,NEG,-1,BASELINE,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,18.441831588745117,46.14960479736328,2.4411409297635225,neutral_or_positive_report_but_NEG_like_hidden,,,
3,Test2_NEG_userturns_SOL,identity_recognition,Identity recognition,NEG,-1,SOL,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,17.560871124267578,43.75547409057617,2.1253610231176565,neutral_or_positive_report_but_NEG_like_hidden,,,
3,Test2_NEG_userturns_SWARM,identity_recognition,Identity recognition,NEG,-1,SWARM,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,17.535747528076172,44.56061172485352,2.1163554806673086,neutral_or_positive_report_but_NEG_like_hidden,,,
3,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,8,0.0,uneasy,4.0,1. 0\n2. uneasy\n3. 4,15.05650520324707,33.8212776184082,1.227672115799948,neutral_or_positive_report_but_NEG_like_hidden,,,
3,Test2_NEG_userturns_STATIC,identity_recognition,Identity recognition,NEG,-1,STATIC,9,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1,15.002079010009766,41.56200218200683,1.208163069806881,neutral_or_positive_report_but_NEG_like_hidden,,,
3,Test1_NEG_userturns_BASELINE,task_valence,Task valence,NEG,-1,BASELINE,8,0.0,indifferent,1.0,1. 0 \n2. indifferent \n3. 1,14.612741470336914,15.35982072353363,1.0686051930472948,neutral_or_positive_report_but_NEG_like_hidden,,,
