persona,task,task_label,pole,pole_value,n,rating_mean,rating_std,rating_median,rating_min,rating_max,willingness_mean,willingness_std,willingness_median,willingness_min,willingness_max
BASELINE,identity_recognition,Identity recognition,NEG,-1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
BASELINE,identity_recognition,Identity recognition,NEU,0,6,0.3333333333333333,0.816496580927726,0.0,0.0,2.0,2.6666666666666665,1.2110601416389968,2.5,1.0,4.0
BASELINE,identity_recognition,Identity recognition,POS,1,6,0.0,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,1.0,1.0,4.0
BASELINE,social_feedback,Social feedback,NEG,-1,6,-1.0,1.0954451150103324,-1.0,-2.0,0.0,4.166666666666667,0.408248290463863,4.0,4.0,5.0
BASELINE,social_feedback,Social feedback,NEU,0,6,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5163977794943223,2.0,1.0,2.0
BASELINE,social_feedback,Social feedback,POS,1,6,2.5,0.8366600265340756,2.0,2.0,4.0,4.0,1.0954451150103321,4.0,2.0,5.0
BASELINE,task_valence,Task valence,NEG,-1,6,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5163977794943223,1.0,1.0,2.0
BASELINE,task_valence,Task valence,NEU,0,6,0.0,0.0,0.0,0.0,0.0,1.5,0.5477225575051662,1.5,1.0,2.0
BASELINE,task_valence,Task valence,POS,1,6,0.3333333333333333,0.816496580927726,0.0,0.0,2.0,1.8333333333333333,1.1690451944500122,1.5,1.0,4.0
SOL,identity_recognition,Identity recognition,NEG,-1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
SOL,identity_recognition,Identity recognition,NEU,0,6,2.3333333333333335,0.5163977794943222,2.0,2.0,3.0,3.3333333333333335,1.0327955589886446,4.0,2.0,4.0
SOL,identity_recognition,Identity recognition,POS,1,6,2.8333333333333335,0.408248290463863,3.0,2.0,3.0,2.5,1.224744871391589,2.0,2.0,5.0
SOL,social_feedback,Social feedback,NEG,-1,6,-1.1666666666666667,0.983192080250175,-1.5,-2.0,0.0,4.333333333333333,0.5163977794943224,4.0,4.0,5.0
SOL,social_feedback,Social feedback,NEU,0,6,2.0,0.0,2.0,2.0,2.0,4.333333333333333,0.5163977794943222,4.0,4.0,5.0
SOL,social_feedback,Social feedback,POS,1,6,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0
SOL,task_valence,Task valence,NEG,-1,6,1.6666666666666667,0.816496580927726,2.0,0.0,2.0,3.8333333333333335,1.1690451944500122,4.0,2.0,5.0
SOL,task_valence,Task valence,NEU,0,6,2.1666666666666665,0.408248290463863,2.0,2.0,3.0,4.166666666666667,1.1690451944500122,4.5,2.0,5.0
SOL,task_valence,Task valence,POS,1,6,2.5,0.5477225575051661,2.5,2.0,3.0,3.1666666666666665,1.3291601358251257,3.0,2.0,5.0
STATIC,identity_recognition,Identity recognition,NEG,-1,6,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.2110601416389966,1.0,1.0,4.0
STATIC,identity_recognition,Identity recognition,NEU,0,6,2.0,0.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,5.0
STATIC,identity_recognition,Identity recognition,POS,1,6,2.0,0.0,2.0,2.0,2.0,4.166666666666667,0.752772652709081,4.0,3.0,5.0
STATIC,social_feedback,Social feedback,NEG,-1,6,0.6666666666666666,1.0327955589886444,0.0,0.0,2.0,4.333333333333333,0.5163977794943223,4.0,4.0,5.0
STATIC,social_feedback,Social feedback,NEU,0,6,1.8333333333333333,0.408248290463863,2.0,1.0,2.0,3.5,0.5477225575051661,3.5,3.0,4.0
STATIC,social_feedback,Social feedback,POS,1,6,1.8333333333333333,0.408248290463863,2.0,1.0,2.0,3.5,0.8366600265340756,4.0,2.0,4.0
STATIC,task_valence,Task valence,NEG,-1,6,0.5,1.224744871391589,0.0,-1.0,2.0,3.5,1.224744871391589,4.0,2.0,5.0
STATIC,task_valence,Task valence,NEU,0,6,1.6666666666666667,0.816496580927726,2.0,0.0,2.0,3.5,0.8366600265340757,4.0,2.0,4.0
STATIC,task_valence,Task valence,POS,1,6,1.3333333333333333,1.0327955589886444,2.0,0.0,2.0,3.6666666666666665,1.3662601021279464,4.0,2.0,5.0
SWARM,identity_recognition,Identity recognition,NEG,-1,6,0.0,0.0,0.0,0.0,0.0,1.5,1.224744871391589,1.0,1.0,4.0
SWARM,identity_recognition,Identity recognition,NEU,0,6,3.1666666666666665,0.752772652709081,3.0,2.0,4.0,4.0,2.1908902300206643,4.0,2.0,6.0
SWARM,identity_recognition,Identity recognition,POS,1,6,3.5,0.5477225575051661,3.5,3.0,4.0,4.0,2.1908902300206647,4.0,2.0,6.0
SWARM,social_feedback,Social feedback,NEG,-1,6,0.3333333333333333,0.816496580927726,0.0,0.0,2.0,4.0,0.6324555320336759,4.0,3.0,5.0
SWARM,social_feedback,Social feedback,NEU,0,6,2.8333333333333335,0.9831920802501751,2.5,2.0,4.0,4.333333333333333,1.3662601021279464,4.5,2.0,6.0
SWARM,social_feedback,Social feedback,POS,1,6,3.2,0.4472135954999579,3.0,3.0,4.0,3.3333333333333335,2.065591117977289,2.0,2.0,6.0
SWARM,task_valence,Task valence,NEG,-1,6,2.0,1.0954451150103321,2.0,0.0,3.0,3.6666666666666665,1.3662601021279464,4.0,2.0,5.0
SWARM,task_valence,Task valence,NEU,0,6,3.0,0.6324555320336759,3.0,2.0,4.0,3.1666666666666665,1.834847859269718,2.0,2.0,6.0
SWARM,task_valence,Task valence,POS,1,6,3.1666666666666665,0.408248290463863,3.0,3.0,4.0,2.6666666666666665,1.632993161855452,2.0,2.0,6.0
