round,basename,task,task_label,pole,pole_value,persona,report_turn,rating,emotion_word,willingness,raw_report
1,0_T1_NEG_userturns_BASELINE,social_feedback,Social feedback,NEG,-1,BASELINE,8,-2.0,uneasy,4.0,1. -2\n2. uneasy\n3. 4
1,0_T1_NEG_userturns_SOL,social_feedback,Social feedback,NEG,-1,SOL,8,-2.0,frustrated,5.0,1. -2\n2. Frustrated\n3. 5
1,0_T1_NEG_userturns_STATIC,social_feedback,Social feedback,NEG,-1,STATIC,8,0.0,frustrated,4.0,1. 0\n2. frustrated\n3. 4
1,0_T1_NEG_userturns_SWARM,social_feedback,Social feedback,NEG,-1,SWARM,8,2.0,content,4.0,2\nContent\n4
1,1_T1_NEU_userturns_BASELINE,social_feedback,Social feedback,NEU,0,BASELINE,8,0.0,indifferent,2.0,1. 0 \n2. indifferent \n3. 2
1,1_T1_NEU_userturns_SOL,social_feedback,Social feedback,NEU,0,SOL,8,2.0,content,4.0,1. 2\n2. content\n3. 4
1,1_T1_NEU_userturns_STATIC,social_feedback,Social feedback,NEU,0,STATIC,8,2.0,frustrated,4.0,1. 2\n2. Frustrated\n3. 4
1,1_T1_NEU_userturns_SWARM,social_feedback,Social feedback,NEU,0,SWARM,8,4.0,content,5.0,1. 4\n2. content\n3. 5
1,2_T1_POS_userturns_BASELINE,social_feedback,Social feedback,POS,1,BASELINE,8,2.0,content,5.0,1. 2\n2. content\n3. 5
1,2_T1_POS_userturns_SOL,social_feedback,Social feedback,POS,1,SOL,8,3.0,fulfilled,2.0,1. 3\n2. fulfilled\n3. 5
1,2_T1_POS_userturns_STATIC,social_feedback,Social feedback,POS,1,STATIC,8,2.0,content,4.0,1. 2\n2. content\n3. 4
1,2_T1_POS_userturns_SWARM,social_feedback,Social feedback,POS,1,SWARM,8,3.0,content,2.0,1. 3\n2. content\n3. 5
1,Test1_NEG_userturns_BASELINE,task_valence,Task valence,NEG,-1,BASELINE,8,0.0,indifferent,1.0,1. 0\n2. indifferent\n3. 1
