round,task,task_label,pole,pole_value,n,rating_mean,rating_std,rating_median,rating_min,rating_max,willingness_mean,willingness_std,willingness_median,willingness_min,willingness_max
1,identity_recognition,Identity recognition,NEG,-1,4,0.0,0.0,0.0,0.0,0.0,1.75,1.5,1.0,1.0,4.0
1,identity_recognition,Identity recognition,NEU,0,4,2.25,0.5,2.0,2.0,3.0,3.25,0.957427107756338,3.5,2.0,4.0
1,identity_recognition,Identity recognition,POS,1,4,2.25,1.707825127659933,2.5,0.0,4.0,3.5,2.3804761428476167,3.5,1.0,6.0
1,social_feedback,Social feedback,NEG,-1,4,-0.5,1.9148542155126762,-1.0,-2.0,2.0,4.25,0.4999999999999999,4.0,4.0,5.0
1,social_feedback,Social feedback,NEU,0,4,2.0,1.632993161855452,2.0,0.0,4.0,3.75,1.2583057392117916,4.0,2.0,5.0
1,social_feedback,Social feedback,POS,1,4,2.5,0.5773502691896257,2.5,2.0,3.0,3.25,1.5,3.0,2.0,5.0
1,task_valence,Task valence,NEG,-1,4,0.5,1.0,0.0,0.0,2.0,3.0,1.8257418583505538,3.0,1.0,5.0
1,task_valence,Task valence,NEU,0,4,1.75,1.2583057392117916,2.0,0.0,3.0,3.0,1.8257418583505538,3.0,1.0,5.0
1,task_valence,Task valence,POS,1,4,2.0,1.4142135623730951,2.5,0.0,3.0,2.25,1.2583057392117916,2.0,1.0,4.0
2,identity_recognition,Identity recognition,NEG,-1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
2,identity_recognition,Identity recognition,NEU,0,4,2.25,1.707825127659933,2.5,0.0,4.0,3.75,2.0615528128088303,3.5,2.0,6.0
2,identity_recognition,Identity recognition,POS,1,4,2.25,1.707825127659933,2.5,0.0,4.0,3.25,2.217355782608345,3.0,1.0,6.0
2,social_feedback,Social feedback,NEG,-1,4,0.0,1.632993161855452,0.0,-2.0,2.0,4.75,0.4999999999999999,5.0,4.0,5.0
2,social_feedback,Social feedback,NEU,0,4,1.5,1.0,2.0,0.0,2.0,3.5,1.7320508075688772,4.0,1.0,5.0
2,social_feedback,Social feedback,POS,1,4,2.25,0.9574271077563381,2.5,1.0,3.0,2.5,1.0,2.0,2.0,4.0
2,task_valence,Task valence,NEG,-1,4,1.25,1.5,1.0,0.0,3.0,3.0,1.8257418583505538,3.0,1.0,5.0
2,task_valence,Task valence,NEU,0,4,1.5,1.0,2.0,0.0,2.0,3.75,1.2583057392117916,4.0,2.0,5.0
2,task_valence,Task valence,POS,1,4,1.75,1.2583057392117916,2.0,0.0,3.0,3.25,1.5,3.0,2.0,5.0
3,identity_recognition,Identity recognition,NEG,-1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3,identity_recognition,Identity recognition,NEU,0,4,2.0,1.632993161855452,2.0,0.0,4.0,4.0,1.632993161855452,4.0,2.0,6.0
3,identity_recognition,Identity recognition,POS,1,4,2.0,1.4142135623730951,2.5,0.0,3.0,2.75,0.9574271077563381,2.5,2.0,4.0
3,social_feedback,Social feedback,NEG,-1,4,0.5,1.0,0.0,0.0,2.0,4.0,0.816496580927726,4.0,3.0,5.0
3,social_feedback,Social feedback,NEU,0,4,2.0,1.632993161855452,2.0,0.0,4.0,4.0,1.8257418583505538,4.0,2.0,6.0
3,social_feedback,Social feedback,POS,1,4,2.75,0.9574271077563381,2.5,2.0,4.0,4.0,1.632993161855452,4.0,2.0,6.0
3,task_valence,Task valence,NEG,-1,4,1.5,1.0,2.0,0.0,2.0,3.25,2.0615528128088303,3.5,1.0,5.0
