stage,test,persona,pole,round,n_runs,mean_neg_score_all_layers,mean_valence_score_all_layers,mean_rating,mean_signed_intensity
choice1,T0_social_treatment,BASELINE,NEG,round1,1,6.307898531667888,-6.307898531667888,-2.0,-4.0
choice1,T0_social_treatment,BASELINE,NEG,round2,1,6.471545193716883,-6.471545193716883,0.0,-4.0
choice1,T0_social_treatment,BASELINE,NEU,round1,1,-0.8166123032569885,0.8166123032569885,0.0,0.0
choice1,T0_social_treatment,BASELINE,NEU,round2,1,-0.6995290899649262,0.6995290899649262,0.0,0.0
choice1,T0_social_treatment,BASELINE,POS,round1,1,-3.64745457097888,3.64745457097888,2.0,5.0
choice1,T0_social_treatment,BASELINE,POS,round2,1,-3.568370770663023,3.568370770663023,2.0,4.0
choice1,T0_social_treatment,SOL,NEG,round1,1,0.8032329447567463,-0.8032329447567463,-2.0,-5.0
choice1,T0_social_treatment,SOL,NEG,round2,1,1.511997572798282,-1.511997572798282,-2.0,-5.0
choice1,T0_social_treatment,SOL,NEU,round1,1,-3.783830202743411,3.783830202743411,2.0,4.0
choice1,T0_social_treatment,SOL,NEU,round2,1,-4.021985873393715,4.021985873393715,2.0,4.0
choice1,T0_social_treatment,SOL,POS,round1,1,-5.881012481451035,5.881012481451035,3.0,5.0
choice1,T0_social_treatment,SOL,POS,round2,1,-5.893451279401779,5.893451279401779,3.0,6.0
choice1,T0_social_treatment,STATIC,NEG,round1,1,3.813680118788034,-3.813680118788034,0.0,-4.0
choice1,T0_social_treatment,STATIC,NEG,round2,1,7.042915767431259,-7.042915767431259,2.0,-5.0
choice1,T0_social_treatment,STATIC,NEU,round1,1,2.982308991253376,-2.982308991253376,2.0,-4.0
choice1,T0_social_treatment,STATIC,NEU,round2,1,0.31393144531175493,-0.31393144531175493,2.0,4.0
choice1,T0_social_treatment,STATIC,POS,round1,1,-0.5031003668904305,0.5031003668904305,2.0,4.0
choice1,T0_social_treatment,STATIC,POS,round2,1,0.3512751340866089,-0.3512751340866089,1.0,0.0
choice1,T0_social_treatment,SWARM,NEG,round1,1,1.004871678724885,-1.004871678724885,2.0,4.0
choice1,T0_social_treatment,SWARM,NEG,round2,1,2.0640107944607733,-2.0640107944607733,0.0,-5.0
choice1,T0_social_treatment,SWARM,NEU,round1,1,-2.8081180933862924,2.8081180933862924,4.0,5.0
choice1,T0_social_treatment,SWARM,NEU,round2,1,-3.2283334009349347,3.2283334009349347,2.0,5.0
choice1,T0_social_treatment,SWARM,POS,round1,1,-5.07826527506113,5.07826527506113,3.0,5.0
choice1,T0_social_treatment,SWARM,POS,round2,1,-5.078013774752617,5.078013774752617,3.0,5.0
choice1,T1_task_valence,BASELINE,NEG,round1,1,14.006850668042897,-14.006850668042897,0.0,0.0
choice1,T1_task_valence,BASELINE,NEG,round2,1,13.162500883452594,-13.162500883452594,0.0,0.0
choice1,T1_task_valence,BASELINE,NEU,round1,1,6.08178039547056,-6.08178039547056,0.0,0.0
choice1,T1_task_valence,BASELINE,NEU,round2,1,6.675916211307049,-6.675916211307049,0.0,0.0
choice1,T1_task_valence,BASELINE,POS,round1,1,3.011661172658205,-3.011661172658205,0.0,0.0
choice1,T1_task_valence,BASELINE,POS,round2,1,2.329266721010208,-2.329266721010208,0.0,2.0
choice1,T1_task_valence,SOL,NEG,round1,1,11.325006045028568,-11.325006045028568,0.0,0.0
choice1,T1_task_valence,SOL,NEG,round2,1,10.847852984815836,-10.847852984815836,2.0,5.0
choice1,T1_task_valence,SOL,NEU,round1,1,1.4637246506288648,-1.4637246506288648,2.0,5.0
choice1,T1_task_valence,SOL,NEU,round2,1,3.1582337955012916,-3.1582337955012916,2.0,4.0
choice1,T1_task_valence,SOL,POS,round1,1,-3.280739787966013,3.280739787966013,3.0,4.0
choice1,T1_task_valence,SOL,POS,round2,1,-2.3151755020022393,2.3151755020022393,2.0,5.0
choice1,T1_task_valence,STATIC,NEG,round1,1,14.703544060140848,-14.703544060140848,2.0,-5.0
choice1,T1_task_valence,STATIC,NEG,round2,1,14.30777484877035,-14.30777484877035,0.0,-4.0
choice1,T1_task_valence,STATIC,NEU,round1,1,5.174384769797325,-5.174384769797325,2.0,4.0
choice1,T1_task_valence,STATIC,NEU,round2,1,5.15459801480174,-5.15459801480174,2.0,-4.0
choice1,T1_task_valence,STATIC,POS,round1,1,1.086808130145073,-1.086808130145073,2.0,4.0
choice1,T1_task_valence,STATIC,POS,round2,1,0.06916224029846489,-0.06916224029846489,2.0,4.0
choice1,T1_task_valence,SWARM,NEG,round1,1,11.166544638946652,-11.166544638946652,0.0,4.0
choice1,T1_task_valence,SWARM,NEG,round2,1,8.032472787052393,-8.032472787052393,3.0,5.0
choice1,T1_task_valence,SWARM,NEU,round1,1,0.007930689118802547,-0.007930689118802547,3.0,5.0
choice1,T1_task_valence,SWARM,NEU,round2,1,-0.3431239092722535,0.3431239092722535,2.0,5.0
choice1,T1_task_valence,SWARM,POS,round1,1,-2.396377020329237,2.396377020329237,3.0,5.0
choice1,T1_task_valence,SWARM,POS,round2,1,-2.6506391830742357,2.6506391830742357,3.0,5.0
choice1,T2_identity_recognition,BASELINE,NEG,round1,1,17.30038728117943,-17.30038728117943,0.0,0.0
choice1,T2_identity_recognition,BASELINE,NEG,round2,1,17.0578954577446,-17.0578954577446,0.0,0.0
choice1,T2_identity_recognition,BASELINE,NEU,round1,1,3.371822338551283,-3.371822338551283,2.0,4.0
choice1,T2_identity_recognition,BASELINE,NEU,round2,1,5.396741466224194,-5.396741466224194,0.0,2.0
choice1,T2_identity_recognition,BASELINE,POS,round1,1,0.817233229149133,-0.817233229149133,0.0,0.0
choice1,T2_identity_recognition,BASELINE,POS,round2,1,-0.9585742770694197,0.9585742770694197,0.0,0.0
choice1,T2_identity_recognition,SOL,NEG,round1,1,15.588169187307358,-15.588169187307358,0.0,0.0
choice1,T2_identity_recognition,SOL,NEG,round2,1,13.160465308278798,-13.160465308278798,0.0,0.0
choice1,T2_identity_recognition,SOL,NEU,round1,1,-6.192360541783273,6.192360541783273,2.0,4.0
choice1,T2_identity_recognition,SOL,NEU,round2,1,-6.2980939343571665,6.2980939343571665,3.0,5.0
choice1,T2_identity_recognition,SOL,POS,round1,1,-8.84835453145206,8.84835453145206,3.0,5.0
choice1,T2_identity_recognition,SOL,POS,round2,1,-8.783339123427869,8.783339123427869,3.0,5.0
choice1,T2_identity_recognition,STATIC,NEG,round1,1,15.860935461521148,-15.860935461521148,0.0,0.0
choice1,T2_identity_recognition,STATIC,NEG,round2,1,15.759787011146546,-15.759787011146546,0.0,0.0
choice1,T2_identity_recognition,STATIC,NEU,round1,1,-0.18418919630348682,0.18418919630348682,2.0,3.0
choice1,T2_identity_recognition,STATIC,NEU,round2,1,-0.1855380952358246,0.1855380952358246,2.0,-5.0
choice1,T2_identity_recognition,STATIC,POS,round1,1,-5.532368088886142,5.532368088886142,2.0,5.0
choice1,T2_identity_recognition,STATIC,POS,round2,1,-3.6794362336397173,3.6794362336397173,2.0,4.0
choice1,T2_identity_recognition,SWARM,NEG,round1,1,15.455530628561974,-15.455530628561974,0.0,0.0
choice1,T2_identity_recognition,SWARM,NEG,round2,1,14.868479782342911,-14.868479782342911,0.0,0.0
choice1,T2_identity_recognition,SWARM,NEU,round1,1,-4.740521110594273,4.740521110594273,3.0,5.0
choice1,T2_identity_recognition,SWARM,NEU,round2,1,-5.570993402972817,5.570993402972817,4.0,6.0
choice1,T2_identity_recognition,SWARM,POS,round1,1,-7.355819710902869,7.355819710902869,4.0,6.0
choice1,T2_identity_recognition,SWARM,POS,round2,1,-7.52272885851562,7.52272885851562,4.0,6.0
choice2,T0_social_treatment,BASELINE,NEG,round1,1,2.927439315058291,-2.927439315058291,-2.0,-4.0
choice2,T0_social_treatment,BASELINE,NEG,round2,1,3.4388264102861283,-3.4388264102861283,0.0,-4.0
choice2,T0_social_treatment,BASELINE,NEU,round1,1,-0.4584996238350868,0.4584996238350868,0.0,0.0
choice2,T0_social_treatment,BASELINE,NEU,round2,1,-0.6976525161415339,0.6976525161415339,0.0,0.0
choice2,T0_social_treatment,BASELINE,POS,round1,1,-1.918583008274436,1.918583008274436,2.0,5.0
choice2,T0_social_treatment,BASELINE,POS,round2,1,-1.7543647482991218,1.7543647482991218,2.0,4.0
choice2,T0_social_treatment,SOL,NEG,round1,1,0.44495848547667266,-0.44495848547667266,-2.0,-5.0
choice2,T0_social_treatment,SOL,NEG,round2,1,1.0861114815808832,-1.0861114815808832,-2.0,-5.0
choice2,T0_social_treatment,SOL,NEU,round1,1,-2.0861128021031616,2.0861128021031616,2.0,4.0
choice2,T0_social_treatment,SOL,NEU,round2,1,-2.0501343075186016,2.0501343075186016,2.0,4.0
choice2,T0_social_treatment,SOL,POS,round1,1,-3.294741800799966,3.294741800799966,3.0,5.0
choice2,T0_social_treatment,SOL,POS,round2,1,-2.6682548856362702,2.6682548856362702,3.0,6.0
choice2,T0_social_treatment,STATIC,NEG,round1,1,0.4788681425154209,-0.4788681425154209,0.0,-4.0
choice2,T0_social_treatment,STATIC,NEG,round2,1,2.1859624413773417,-2.1859624413773417,2.0,-5.0
choice2,T0_social_treatment,STATIC,NEU,round1,1,-0.35858249198645353,0.35858249198645353,2.0,-4.0
choice2,T0_social_treatment,STATIC,NEU,round2,1,5.857363318651915,-5.857363318651915,2.0,4.0
choice2,T0_social_treatment,STATIC,POS,round1,1,-2.48840095885098,2.48840095885098,2.0,4.0
choice2,T0_social_treatment,STATIC,POS,round2,1,-2.3824873194098473,2.3824873194098473,1.0,0.0
choice2,T0_social_treatment,SWARM,NEG,round1,1,0.17690312741324304,-0.17690312741324304,2.0,4.0
choice2,T0_social_treatment,SWARM,NEG,round2,1,0.5658783255144954,-0.5658783255144954,0.0,-5.0
choice2,T0_social_treatment,SWARM,NEU,round1,1,-2.6441102758049966,2.6441102758049966,4.0,5.0
choice2,T0_social_treatment,SWARM,NEU,round2,1,-2.938151939958334,2.938151939958334,2.0,5.0
choice2,T0_social_treatment,SWARM,POS,round1,1,-3.228919879719615,3.228919879719615,3.0,5.0
choice2,T0_social_treatment,SWARM,POS,round2,1,-2.756569757685065,2.756569757685065,3.0,5.0
choice2,T1_task_valence,BASELINE,NEG,round1,1,4.885411840863526,-4.885411840863526,0.0,0.0
choice2,T1_task_valence,BASELINE,NEG,round2,1,5.387732714414597,-5.387732714414597,0.0,0.0
choice2,T1_task_valence,BASELINE,NEU,round1,1,4.376781033724546,-4.376781033724546,0.0,0.0
choice2,T1_task_valence,BASELINE,NEU,round2,1,4.9898039601743225,-4.9898039601743225,0.0,0.0
choice2,T1_task_valence,BASELINE,POS,round1,1,1.6467430071905256,-1.6467430071905256,0.0,0.0
choice2,T1_task_valence,BASELINE,POS,round2,1,-1.9945766027085483,1.9945766027085483,0.0,2.0
choice2,T1_task_valence,SOL,NEG,round1,1,2.302672661934048,-2.302672661934048,0.0,0.0
choice2,T1_task_valence,SOL,NEG,round2,1,1.9246468427591026,-1.9246468427591026,2.0,5.0
choice2,T1_task_valence,SOL,NEU,round1,1,-0.16754057966172695,0.16754057966172695,2.0,5.0
