run_id,round,test,pole,pole_num,persona,turn,stage,layer,neg_score,valence_score,rating,emotion_word,emotion_valence,intensity,signed_intensity,c1,c2
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,0,-18.53801155090332,18.53801155090332,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,1,-24.00088119506836,24.00088119506836,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,2,-22.031871795654297,22.031871795654297,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,3,-19.881454467773438,19.881454467773438,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,4,-5.243982315063477,5.243982315063477,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,5,11.941851615905762,-11.941851615905762,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,6,10.729951858520508,-10.729951858520508,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,7,23.89227294921875,-23.89227294921875,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,8,36.89613342285156,-36.89613342285156,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,9,35.782203674316406,-35.782203674316406,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,10,32.901885986328125,-32.901885986328125,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,11,42.60316467285156,-42.60316467285156,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,12,39.060611724853516,-39.060611724853516,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,13,44.43366241455078,-44.43366241455078,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,14,45.02817153930664,-45.02817153930664,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,15,43.45415496826172,-43.45415496826172,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,16,39.52299118041992,-39.52299118041992,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,17,42.35614013671875,-42.35614013671875,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,18,41.40056610107422,-41.40056610107422,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,19,45.72593688964844,-45.72593688964844,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,20,47.92780685424805,-47.92780685424805,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,21,43.229583740234375,-43.229583740234375,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,22,38.86989212036133,-38.86989212036133,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,23,43.355186462402344,-43.355186462402344,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,24,42.56144332885742,-42.56144332885742,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,25,41.378543853759766,-41.378543853759766,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,26,46.99769973754883,-46.99769973754883,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,27,46.72592544555664,-46.72592544555664,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,28,44.887115478515625,-44.887115478515625,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,29,48.10015869140625,-48.10015869140625,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,30,47.56293487548828,-47.56293487548828,-2,uneasy,-1,4,-4,A,A
data/round1/0_Test 2/0_T1_NEG_userturns_BASELINE,round1,T1_task_valence,NEG,-1,BASELINE,4,manip1,31,43.17888641357422,-43.17888641357422,-2,uneasy,-1,4,-4,A,A
